TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Funny Silkscreen Poster - The Early Bird Gets the Worm, The Early Worm Gets Eaten","Some days are optimistic, some days are not – this is the poster for both. Second poster in a 3-part Susie Sunshine/Debbie Downer series.

12 1/2x19” poster. Each is hand-printed, 4-process print in orange, blue, grey, and black ink on 100 lb. Starch White Speckletone stock from French Paper Co. Each print is individually pulled by hand, numbered and signed, and will contain unique imperfections.",35,USD,3,"sarcastic,advice,funny,humor,simple,optimist,pessimist,handprint,silkscreen","French Paper Co,acrylic ink,orange,blue,grey,black",https://i.etsystatic.com/6311609/r/il/a538dc/3204551021/il_fullxfull.3204551021_7849.jpg,https://i.etsystatic.com/6311609/r/il/87ca6c/3204551129/il_fullxfull.3204551129_c1do.jpg,https://i.etsystatic.com/6311609/r/il/ea8be6/3204551177/il_fullxfull.3204551177_1x8e.jpg,https://i.etsystatic.com/6311609/r/il/97795a/3156842270/il_fullxfull.3156842270_amhx.jpg,,,,,,,,,,,,,
"3x3"" Sticker 4-Pack","Mix and match any 4 stickers for your 4-pack. Please lis which ones you would like as a message in your purchase. Stickers are 3x3"" on quality vinyl.

- Benson and Hedgehog Christmas
- Shit Could Be Worse
- GTFO (4x4"")
- Drinks Like a Sailor Swears Like a Fish
- Benson and Hedgehog Balloon
- Space Hedgehog
- It's An Honor Just To Be Asian
- Spooky Scary",10,USD,9,"Stickers,Cute,Fun,Animals,Sayings,Quotes,Halloween,Kids",,https://i.etsystatic.com/6311609/r/il/b38091/4257386058/il_fullxfull.4257386058_cvo5.jpg,https://i.etsystatic.com/6311609/r/il/3cbcb5/4341244200/il_fullxfull.4341244200_hlnh.jpg,https://i.etsystatic.com/6311609/r/il/d787fc/4304782273/il_fullxfull.4304782273_152l.jpg,https://i.etsystatic.com/6311609/r/il/1dd6c4/4304782263/il_fullxfull.4304782263_rzxd.jpg,https://i.etsystatic.com/6311609/r/il/c4bc2d/4257386038/il_fullxfull.4257386038_5iqx.jpg,https://i.etsystatic.com/6311609/r/il/ce8346/4257386010/il_fullxfull.4257386010_i2yc.jpg,https://i.etsystatic.com/6311609/r/il/57cc89/4304782229/il_fullxfull.4304782229_nl0m.jpg,https://i.etsystatic.com/6311609/r/il/74d84a/4257386110/il_fullxfull.4257386110_j16a.jpg,https://i.etsystatic.com/6311609/r/il/206405/4257386116/il_fullxfull.4257386116_p4nr.jpg,,,,,,,,
"Benson & Hedgehog Enamel Camp Cup","Benson and Hedgehog are the perfect pair for your next camping adventure. This enamel mug is 12oz. and dishwasher safe with a black rim for a unique look. Material: cold-rolled steel plate, with enamel glazed surface One size: 12oz (0.35 l) Glossy finish Dishwasher safe",16,USD,998,,,https://i.etsystatic.com/6311609/r/il/e1f11a/4505302188/il_fullxfull.4505302188_nl1f.jpg,https://i.etsystatic.com/6311609/r/il/c7d36b/4552669725/il_fullxfull.4552669725_tvxv.jpg,https://i.etsystatic.com/6311609/r/il/946c8e/4505302488/il_fullxfull.4505302488_7ogl.jpg,https://i.etsystatic.com/6311609/r/il/9749eb/4505302594/il_fullxfull.4505302594_pub4.jpg,https://i.etsystatic.com/6311609/r/il/f9376e/4552670041/il_fullxfull.4552670041_4753.jpg,,,,,,,,,,,,30097507076413769048
"I'll Be Nicer If You'll Be Smarter Enamel Camp Cup","Wise words with a warm cup of coffee. This enamel mug is 12oz. and dishwasher safe with a black rim for a unique look. Material: cold-rolled steel plate, with enamel glazed surface One size: 12oz (0.35 l) Glossy finish Dishwasher safe",16,USD,998,,,https://i.etsystatic.com/6311609/r/il/6b8290/4505302816/il_fullxfull.4505302816_isz5.jpg,https://i.etsystatic.com/6311609/r/il/40a8c8/4505302874/il_fullxfull.4505302874_q3nt.jpg,https://i.etsystatic.com/6311609/r/il/4020bd/4552670313/il_fullxfull.4552670313_mr1z.jpg,https://i.etsystatic.com/6311609/r/il/c57680/4505303082/il_fullxfull.4505303082_9924.jpg,https://i.etsystatic.com/6311609/r/il/5bc9e3/4552670479/il_fullxfull.4552670479_8d5n.jpg,,,,,,,,,,,,22157129927767605534
"If You Can't Say Anything Nice Say Something Sarcastic Mug 11oz","A fun hand-lettered twist to a common saying. Never run out of your favorite hot drink! Durable white ceramic mug in the most popular size.

• Black ceramic
• 11 oz (0.33 l)
• C-handle
• Dishwasher safe",11.9,USD,995,"funny,sarcastic,saying,quote",Ceramic,https://i.etsystatic.com/6311609/r/il/5bb412/2699501558/il_fullxfull.2699501558_ttwu.jpg,https://i.etsystatic.com/6311609/r/il/4ed249/2747179415/il_fullxfull.2747179415_kjtv.jpg,https://i.etsystatic.com/6311609/r/il/ad0957/2747179483/il_fullxfull.2747179483_1v1z.jpg,https://i.etsystatic.com/6311609/r/il/a56cea/2747179589/il_fullxfull.2747179589_8cpm.jpg,https://i.etsystatic.com/6311609/r/il/519427/2747179691/il_fullxfull.2747179691_gj83.jpg,https://i.etsystatic.com/6311609/r/il/14e8b4/2747179861/il_fullxfull.2747179861_55cm.jpg,,,,,"Custom Property",Sizes,11oz,,,,1968305422
"Drinks Like a Sailor, Swears Like a Fish Enamel Camp Cup","Whether it's whiskey or coffee, this mug is ready for your next camping (or sailing) adventure. This enamel mug is 12oz. and dishwasher safe with a black rim for a unique look. Material: cold-rolled steel plate, with enamel glazed surface One size: 12oz (0.35 l) Glossy finish Dishwasher safe",16,USD,999,,,https://i.etsystatic.com/6311609/r/il/daf96e/4552671035/il_fullxfull.4552671035_c4ly.jpg,https://i.etsystatic.com/6311609/r/il/38bed6/4552671113/il_fullxfull.4552671113_cnwe.jpg,https://i.etsystatic.com/6311609/r/il/57e7e5/4552671191/il_fullxfull.4552671191_rkdj.jpg,https://i.etsystatic.com/6311609/r/il/2b5bdb/4552671301/il_fullxfull.4552671301_7ocu.jpg,https://i.etsystatic.com/6311609/r/il/30cb02/4552671395/il_fullxfull.4552671395_srjt.jpg,,,,,,,,,,,,19855696503952729172
"Funny Hang Tags - You're Welcome, Linoleum Block Gift Tags (5-pack)","Gift tags for presents so awesome you can skip the Thank You card.

3 3/4x1 7/8” manila shipping tags with hand-stamped “You’re Welcome”. Tags are hand-pressed, single process linoleum block print on 13 point cardstock with brown, reinforced circle. Each tag includes a red & white baker's twine loop, is individually pressed by hand and will contain some unique imperfections.

Please contact me for larger orders.",4,USD,9,"Gift_Tag,funny,sarcastic,gift,typography,stamp,lino_block,hand_print,black,shipping_tag,manila,tag,simple","manila gift tag,shipping tag,waxed twine,black ink",https://i.etsystatic.com/6311609/r/il/ef8644/1461242621/il_fullxfull.1461242621_a71v.jpg,https://i.etsystatic.com/6311609/r/il/91d526/438795874/il_fullxfull.438795874_pgcz.jpg,https://i.etsystatic.com/6311609/r/il/710a52/438807933/il_fullxfull.438807933_6l1b.jpg,,,,,,,,,,,,,,
"Simple Linoleum Print Poster - Letter A","9x9"" poster with hand-drawn/hand cut letter A. 

Poster is hand cut single-process linoleum block print in teal ink on 100 lb. Speckletone cover stock from French Paper Co. Each print is individually pressed by hand and signed, and will contain some unique imperfections.",10,USD,10,"Typography,Handmade,Hand_drawn,Linocut,Design,Bold,A,Alphabet,letter,banner,handlettered,nautical",,https://i.etsystatic.com/6311609/r/il/b61982/3204552741/il_fullxfull.3204552741_9oz5.jpg,https://i.etsystatic.com/6311609/r/il/06f5ab/3156843870/il_fullxfull.3156843870_5onn.jpg,https://i.etsystatic.com/6311609/r/il/47e112/3204552839/il_fullxfull.3204552839_r1vk.jpg,,,,,,,,,,,,,,
"Bright Greeting Card - Oh Hello, Silkscreen Card w/envelope","6x4” folded Oh Hello card with 100% recycled paper envelope. Card is a 2-process silkscreen print in hand-mixed yellow and blue on 140 lb. Muscletone cardstock from French Paper Co. Inside is blank. Each print is individually pulled by hand and will contain some unique imperfections. 

Please contact me for larger orders.",5,USD,10,"6x4,hello,yellow,blue,bright,happy,thinking_of_you,silkscreen,hand_print,typography,cheery,stripes,sprint","French Paper Company,recycled envelope,blue ink,yellow ink",https://i.etsystatic.com/6311609/r/il/cb29ff/438794202/il_fullxfull.438794202_hszw.jpg,https://i.etsystatic.com/6311609/r/il/199bea/438794200/il_fullxfull.438794200_5xzr.jpg,,,,,,,,,,,,,,,
"Funny Silkscreen Poster - What Doesn't Kill You Makes You Stronger, What Does Kill You Makes You Dead","Some days are optimistic, some days are not – this is the poster for both. First poster in a 3-part Susie Sunshine/Debbie Downer series. 

12 1/2x19” poster. Each is hand-printed, 3-process print in orange, blue, and black ink on 100 lb. Starch White Speckletone stock from French Paper Co. Each print is individually pulled by hand, numbered and signed, and will contain unique imperfections. Initial run of 10 prints.",30,USD,2,"Poster,Print,silkscreen,funny,sarcastic,advice,art,handprint,optimistic,pessimistic,simple","blue ink,orange ink,black ink,French Paper Co",https://i.etsystatic.com/6311609/r/il/8f2dfa/3156845046/il_fullxfull.3156845046_ktzu.jpg,https://i.etsystatic.com/6311609/r/il/cd6a35/3156845176/il_fullxfull.3156845176_3ev9.jpg,https://i.etsystatic.com/6311609/r/il/4813b8/3204554097/il_fullxfull.3204554097_pdm3.jpg,https://i.etsystatic.com/6311609/r/il/016b77/3156845262/il_fullxfull.3156845262_lujo.jpg,,,,,,,,,,,,,
